,Material Description
160,Fuselink 140 Amps
161,Fuselink 15 Amps
162,Fuselink 2 Amps
163,Fuselink 20 Amps
164,Fuselink 200 Amps
165,Fuselink 25 Amps
166,Fuselink 3 Amps
167,Fuselink 30 Amps
168,Fuselink 40 Amps
169,Fuselink 50 Amps
170,Fuselink 6 Amps
171,Fuselink 65 Amps
172,Fuselink 8 Amps
173,Fuselink 80 Amps
174,Ground Clamp Connector
175,Ground Wire Iron 3 Strand
176,Grounding Rod Steel Galv. 5/8 X 10
177,Guy Clamp Single Bolt (Non-Moving)
178,Guy Plate
179,Guy Grip 3/8
180,Guy Grip 7/16
181,Guy Hook
182,Guy Wire 7 Strand (Mtrs)
183,Guy Wire 7/16 Stand High Strenth Galv.
184,Hotline Clamp #2 - 2/0
185,Hotline Clamp #2 - 4/0
186,Insulated Ring Terminal # 10 (Yellow)
187,Insulated Bracket
188,Insulated Ring Terminal # 8 (Blue)
189,"Insulator,Post Clamp Type Horizontal Mount"
190,Jumper Al. Alloy #4 (Mtrs) 3Strand
191,Junction Box
192,Kwh Meter Edmi Cl 100
193,Kwhm Americo Cl 100 St Electronic Bn
194,Kwhm Americo Cl 200 St Electronic Bn
195,Kwhm Bottom Connected Elec. Display Accura
196,Kwhm Ge Kv2C  Fm1S Cl200 120-480V 2W Bn
197,Kwhm Ge Kv2C Fm16S Cl200 120-480V 4W Bn
198,Kwhm Ge Kv2C Fm3S Cl20 120-480V 2W Bn
199,Kwhm Ge Kv2C Fm9S Cl20 4W 120-480V Bn
200,Kwhm Ge Kv2C Fm9S+ Cl20 4W 57-120V Bn
201,Kwhm Intech Cl 100
202,Kwhm St Cl 100 Metrix
203,Lagscrew 1/2 X 4
204,Lagscrew 3/8 X 3
205,Lightning Arrester Station Class 60Kv W/ Surge Monitor
206,Lightning Arrester 9-10 Kv
207,Lock  Nut 3/4
208,Lock Nut 1/2
209,Locknut 3/8
210,Locknut 5/8
211,Machine Bolt 1/2 X 10
212,Machine Bolt 1/2 X 12
213,Machine Bolt 1/2 X 14
214,Machine Bolt 1/2 X 16
215,Machine Bolt 1/2 X 4
216,Machine Bolt 1/2 X 6
217,Machine Bolt 1/2 X 8
218,Machine Bolt 3/4 X 16
219,Machine Bolt 3/4 X 18
220,Machine Bolt 3/4 X 26
221,Machine Bolt 5/8 X 10
222,Machine Bolt 5/8 X 12
223,Machine Bolt 5/8 X 14
224,Machine Bolt 5/8 X 16
225,Machine Bolt 5/8 X 18
226,Machine Bolt 5/8 X 20
227,Machine Bolt 5/8 X 8
228,"Male Adaptor 1"""
229,"Male Adaptor 1/2"""
230,Male Adaptor W/ Locknut #2
231,Male Plug 1'' Plastic
232,Malleable Guy Attachment
233,Marterials Description
234,Metal Screw W/Nut
235,Meter Base Cover/Cap
236,Meter Base Round
237,Meter Base Round 5 Jaws
238,"Meter Box Nema 3R 1"" Dia Hub"
239,Meter Box Nema 3R 2Hub
240,Oval Eye Bolt 3/4 X 14
241,Oval Eye Bolt 3/4 X 18
242,Oval Eye Bolt 5/8 X 10
243,Oval Eye Bolt 5/8 X 12
244,Oval Eye Bolt 5/8 X 14
245,Oval Eye Bolt 5/8 X 16
246,Oval Eye Bolt 5/8 X 18
247,Oval Eye Bolt 5/8 X 24
248,Oval Eye Bolt 5/8 X 8
249,Oval Eye Bolt 5/8 X 9
